ID,Type,Name,District,Coords,Latitude,Longitude
1,PARK,KAYALI BAHÇE PARKI,BAKIRKÖY,"40.97300068 , 28.78923982",40.97300068,28.78923982
2,PARK,FLORYA SAHİL PARKI,BAKIRKÖY,"40.97004532 , 28.79125272",40.97004532,28.79125272
3,PARK,FLORYA AKVARYUM ÇEVRESİ,BAKIRKÖY,"40.96565926 , 28.79825785",40.96565926,28.79825785
4,PARK,DENİZ AKTAŞ PARKI,BAKIRKÖY,"40.96378000 , 28.83312400",40.96378000,28.83312400
5,PARK,ŞEHİT GÜLŞEN BAHADIR PARKI (YEŞİLKÖY SAHİL PARKI),BAKIRKÖY,"40.96378000 , 28.83312400",40.96378000,28.83312400
6,PARK,KAZAKİSTAN PARKI,BAKIRKÖY,"40.97633300 , 28.86503800",40.97633300,28.86503800
7,PARK,AYTEKİN KOTİL PARKI,BAKIRKÖY,"40.97740700 , 28.88432000",40.97740700,28.88432000
8,PARK,BAKIRKÖY SAKIZAĞACI PARKI,BAKIRKÖY,"40.97855300 , 28.88447400",40.97855300,28.88447400
9,PARK,BAKIRKÖY CEVİZLİK PARKI,BAKIRKÖY,"40.97465500 , 28.87640300",40.97465500,28.87640300
10,PARK,BİLAL BOZKAYA PARKI,BAKIRKÖY,"40.98722800 , 28.86873800",40.98722800,28.86873800
11,PARK,ÇAMLIK ATATÜRK PARKI,BAKIRKÖY,"40.98726333 , 28.86964946",40.98726333,28.86964946
12,PARK,DİNAZORLU PARK,BAKIRKÖY,"40.98250900 , 28.87212600",40.98250900,28.87212600
13,PARK,BARUTHANE MİLLET BAHÇESİ,BAKIRKÖY,"40.97520012 , 28.85888457",40.97520012,28.85888457
14,PARK,ZUHURATBABA PARKI,BAKIRKÖY,"40.98727641 , 28.87068897",40.98727641,28.87068897
15,PARK,ÖZGÜRLÜK VE DEMOKRASİ PARKI (OLİMPİYAT PARKI),BAKIRKÖY,"40.95989909 , 28.83706748",40.95989909,28.83706748
16,PARK,ÇINAR OTEL YANI PARKI,BAKIRKÖY,"40.95946360 , 28.83750468",40.95946360,28.83750468
17,PARK,ATATÜRK PARKI,BAKIRKÖY,"40.98055515 , 28.79377797",40.98055515,28.79377797
18,PARK,50.YIL PARKI,FATİH,"41.01483464 , 28.95550311",41.01483464,28.95550311
19,PARK,ARKEOLOJİ PARKI,FATİH,"41.01464440 , 28.95324469",41.01464440,28.95324469
20,PARK,ŞEHİT MEHMET HÜSEYİN BALTA PARKI,FATİH,"41.02979312 , 28.93634140",41.02979312,28.93634140
21,PARK,FATİH ANIT PARK,FATİH,"41.01575345 , 28.95433903",41.01575345,28.95433903
22,PARK,HAVA ŞEHİTLERİ PARKI,FATİH,"41.01593964 , 28.95280480",41.01593964,28.95280480
23,PARK,ŞEHİT AHMET KARA PARK,FATİH,"41.01665607 , 28.95575523",41.01665607,28.95575523
24,PARK,MACAR KARDEŞLER PARKI,FATİH,"41.01535274 , 28.95263046",41.01535274,28.95263046
25,PARK,ORUÇGAZİ PARKI,FATİH,"41.01303745 , 28.95275116",41.01303745,28.95275116
26,PARK,ORUÇGAZİ ORTAOKULU PARKI,FATİH,"41.01186763 , 28.95289063",41.01186763,28.95289063
27,PARK,NUMUNE PARKI,FATİH,"41.01242624 , 28.95442486",41.01242624,28.95442486
28,PARK,ORGENERAL NAFİZ GÜRMAN PARKI,BAHÇELİEVLER,"41.00302654 , 28.88429582",41.00302654,28.88429582
29,PARK,TOPKAPI DEPREM PARKI,ZEYTİNBURNU,"41.02142796 , 28.92103672",41.02142796,28.92103672
30,PARK,TÜRK BAHÇESİ,ZEYTİNBURNU,"40.99330563 , 28.92042518",40.99330563,28.92042518
31,PARK,ÇIRPICI ŞEHİR PARKI,ZEYTİNBURNU,"41.00031811 , 28.89099330",41.00031811,28.89099330
32,PARK,DR. MİMAR KADİR TOPBAŞ PARKI,FATİH,"40.99771484 , 28.94713998",40.99771484,28.94713998
33,PARK,ÇATLADIKAPI PARKI,FATİH,"41.00159744 , 28.97589326",41.00159744,28.97589326
34,PARK,GAYRET PARKI,FATİH,"41.00240713 , 28.94027352",41.00240713,28.94027352
35,PARK,GENÇLİK PARKI,FATİH,"41.00424509 , 28.95488620",41.00424509,28.95488620
