District Name,EV at P0,EV at P1,EV at P2,EV at P3,EV at P4,EV at P5,EV at P6
Adalar,4,165,2806,19969,65730,120343,159884
Arnavutköy,1,53,1047,8570,31764,63050,86728
Ataşehir,14,422,5613,31902,87355,142405,181171
Avcılar,3,140,2438,17774,59702,110790,148012
Bağcılar,4,171,2696,17896,55599,98025,128298
Bahçelievler,5,187,2913,19148,59005,103488,135177
Bakırköy,18,484,5657,28610,71461,110460,138153
Başakşehir,5,156,2090,11997,33104,54216,69082
Bayrampaşa,5,193,3074,20631,64666,114665,150409
Beşiktaş,30,648,6168,26034,56725,81564,99986
Beykoz,5,225,3862,27806,92425,170320,226884
Beylikdüzü,3,121,1863,12119,37018,64562,84152
Beyoğlu,11,341,4636,26864,74706,122921,156876
Büyükçekmece,4,156,2629,18543,60571,110339,146293
Çatalca,3,133,2642,21662,80402,159757,219853
Çekmeköy,1,56,1010,7552,25907,48765,65536
Esenler,2,89,1610,12191,42270,80137,108029
Esenyurt,3,127,1973,12878,39442,68908,89874
Eyüpsultan,7,255,4324,30690,100808,184313,244736
Fatih,26,713,8609,44898,114858,179957,226010
Gaziosmanpaşa,2,91,1638,12222,41869,78734,105770
Güngören,4,150,2507,17610,57323,104183,138003
Kadıköy,22,548,6014,28800,68973,104173,129402
Kağıthane,3,105,1697,11526,36499,65151,85683
Kartal,4,147,2327,15500,48286,85282,111695
Küçükçekmece,5,179,2886,19643,62288,111283,146405
Maltepe,4,122,1829,11615,34794,59937,77760
Pendik,1,33,518,3374,10327,18034,23517
Sancaktepe,0,10,190,1452,5080,9692,13101
Sarıyer,3,109,1506,8892,25098,41671,53349
Silivri,3,132,2401,18279,63695,121163,163570
Sultanbeyli,1,51,1026,8499,31819,63611,87783
Sultangazi,1,52,1019,8291,30574,60473,83051
Şile,2,92,1847,15278,57120,114076,157350
Şişli,3,49,408,1528,3054,4214,5117
Tuzla,6,201,2994,18905,56365,96811,125463
Ümraniye,6,180,2454,14279,39836,65674,83872
Üsküdar,4,140,1993,12084,34854,58641,75426
Zeytinburnu,12,406,6350,41951,129799,228252,298441
