ID,Neighborhood,District,Population,Multiplier,Latitude,Longitude,Area,EV at P1,EV at P2,EV at P3,EV at P4,EV at P5,EV at P6
306,Anadolu,Arnavutköy,33177,%12.67967,41.1851685,28.7494522,1.5,7,126,961,3067,4928,6069
421,Yunus Emre,Arnavutköy,16085,%6.14741,41.1851922,28.7605273,1.1,3,61,466,1487,2389,2942
479,Boğazköy Atatürk,Arnavutköy,7726,%2.95274,41.184471,28.7412446,0.65,2,29,224,714,1148,1413
481,Arnavutköy İslambey,Arnavutköy,18832,%7.19726,41.184745,28.7411081,1.6,4,72,545,1741,2797,3445
539,Mustafa Kemal Paşa,Arnavutköy,12585,%4.80977,41.1868267,28.7358834,1.3,3,48,364,1163,1869,2302
582,Nenehatun,Arnavutköy,8344,%3.18893,41.2018343,28.7289861,1.2,2,32,242,771,1239,1526
585,Karlıbayır,Arnavutköy,8308,%3.17517,41.1817543,28.7149951,1.3,2,32,241,768,1234,1520
607,Arnavutköy Yavuzselim,Arnavutköy,11217,%4.28694,41.184471,28.7412446,2.1,2,43,325,1037,1666,2052
623,Mavigöl,Arnavutköy,7412,%2.83274,41.2042176,28.764377,1.6,1,28,215,685,1101,1356
643,Taşoluk,Arnavutköy,5816,%2.22277,41.1960582,28.7167959,1.6,1,22,168,538,864,1064
657,Hicret,Arnavutköy,3086,%1.17942,41.197665,28.7551223,0.98,1,12,89,285,458,565
663,Taşoluk Mehmet Akif Ersoy,Arnavutköy,6349,%2.42648,41.210753,28.7123431068948,2.1,1,24,184,587,943,1161
676,Arnavutköy Merkez,Arnavutköy,18695,%7.14490,41.1823968,28.7426319,6.7,4,71,541,1728,2777,3420
686,Durusu Zafer,Arnavutköy,792,%0.30269,41.184471,28.7412446,0.35,0,3,23,73,118,145
689,Hadımköy,Arnavutköy,21598,%8.25438,41.1585587,28.6212692,10.1,4,82,625,1997,3208,3951
694,Taşoluk M. Fevzi Çakmak,Arnavutköy,4611,%1.76224,41.210753,28.7123431068948,2.6,1,18,134,426,685,844
698,Taşoluk Adnan Menderes,Arnavutköy,3996,%1.52720,41.184471,28.7412446,2.3,1,15,116,369,594,731
707,Hastane,Arnavutköy,8205,%3.13581,41.153773,28.6194517,5.7,2,31,238,758,1219,1501
733,Taşoluk Fatih,Arnavutköy,2484,%0.94934,41.210753,28.7123431068948,2.5,1,9,72,230,369,454
737,Haraççı,Arnavutköy,8297,%3.17097,41.1763646,28.7024285,8.7,2,32,240,767,1232,1518
741,Deliklikaya,Arnavutköy,4857,%1.85626,41.1115232,28.6545292,5.7,1,18,141,449,721,889
748,Ömerli,Arnavutköy,6818,%2.60572,41.1161343,28.6380008,10.8,1,26,197,630,1013,1247
754,Bolluca Merkez,Arnavutköy,6984,%2.66916,41.184471,28.7412446,12.1,1,27,202,646,1037,1278
771,Boğazköy İstiklal,Arnavutköy,9925,%3.79316,41.1816651,28.7738364,29.4,2,38,287,917,1474,1816
774,Arnavutköy İmrahor,Arnavutköy,10052,%3.84170,41.2560325,28.7426028,33.2,2,38,291,929,1493,1839
791,Karaburun,Arnavutköy,1521,%0.58130,41.3458809,28.6820201,7.5,0,6,44,141,226,278
797,Tayakadın,Arnavutköy,5242,%2.00340,41.269504,28.689606,35.3,1,20,152,485,779,959
814,Taşoluk Çilingir,Arnavutköy,1072,%0.40970,41.184471,28.7412446,12,0,4,31,99,159,196
829,Sazlıbosna,Arnavutköy,1149,%0.43913,41.1557323,28.673678,17.1,0,4,33,106,171,210
832,Terkos,Arnavutköy,935,%0.35734,41.303644,28.6760707,15.1,0,4,27,86,139,171
