,ID,Neighborhood,District,Area,Population Density,Population,Multiplier,Latitude,Longitude,EV at P1,EV at P2,EV at P3,EV at P4,EV at P5,EV at P6
District:,,,,,,Toplam:,,,,Toplam:,Toplam:,Toplam:,Toplam:,Toplam:,Toplam:
Arnavutköy,,,,,,261655,,,,53,1047,8570,31764,63050,86728
,306,Anadolu,Arnavutköy,1.5,21607,33177,%12.67967,41.1851685,28.7494522,7,133,1087,4028,7995,10997
,421,Yunus Emre,Arnavutköy,1.1,14919,16085,%6.14741,41.1851922,28.7605273,3,64,527,1953,3876,5332
,479,Boğazköy Atatürk,Arnavutköy,0.65,11965,7726,%2.95274,41.184471,28.7412446,2,31,253,938,1862,2561
,481,Arnavutköy İslambey,Arnavutköy,1.6,11923,18832,%7.19726,41.184745,28.7411081,4,75,617,2286,4538,6242
,539,Mustafa Kemal Paşa,Arnavutköy,1.3,9630,12585,%4.80977,41.1868267,28.7358834,3,50,412,1528,3033,4171
,582,Nenehatun,Arnavutköy,1.2,6756,8344,%3.18893,41.2018343,28.7289861,2,33,273,1013,2011,2766
,585,Karlıbayır,Arnavutköy,1.3,6491,8308,%3.17517,41.1817543,28.7149951,2,33,272,1009,2002,2754
,607,Arnavutköy Yavuzselim,Arnavutköy,2.1,5460,11217,%4.28694,41.184471,28.7412446,2,45,367,1362,2703,3718
,623,Mavigöl,Arnavutköy,1.6,4782,7412,%2.83274,41.2042176,28.764377,1,30,243,900,1786,2457
,643,Taşoluk,Arnavutköy,1.6,3694,5816,%2.22277,41.1960582,28.7167959,1,23,190,706,1401,1928
,657,Hicret,Arnavutköy,0.98,3155,3086,%1.17942,41.197665,28.7551223,1,12,101,375,744,1023
,663,Taşoluk Mehmet Akif Ersoy,Arnavutköy,2.1,3023,6349,%2.42648,41.210753,28.7123431068948,1,25,208,771,1530,2104
,676,Arnavutköy Merkez,Arnavutköy,6.7,2771,18695,%7.14490,41.1823968,28.7426319,4,75,612,2270,4505,6197
,686,Durusu Zafer,Arnavutköy,0.35,2248,792,%0.30269,41.184471,28.7412446,0,3,26,96,191,263
,689,Hadımköy,Arnavutköy,10.1,2146,21598,%8.25438,41.1585587,28.6212692,4,86,707,2622,5204,7159
,694,Taşoluk M. Fevzi Çakmak,Arnavutköy,2.6,1804,4611,%1.76224,41.210753,28.7123431068948,1,18,151,560,1111,1528
,698,Taşoluk Adnan Menderes,Arnavutköy,2.3,1757,3996,%1.52720,41.184471,28.7412446,1,16,131,485,963,1325
,707,Hastane,Arnavutköy,5.7,1446,8205,%3.13581,41.153773,28.6194517,2,33,269,996,1977,2720
,733,Taşoluk Fatih,Arnavutköy,2.5,991,2484,%0.94934,41.210753,28.7123431068948,1,10,81,302,599,823
,737,Haraççı,Arnavutköy,8.7,954,8297,%3.17097,41.1763646,28.7024285,2,33,272,1007,1999,2750
,741,Deliklikaya,Arnavutköy,5.7,847,4857,%1.85626,41.1115232,28.6545292,1,19,159,590,1170,1610
,748,Ömerli,Arnavutköy,10.8,633,6818,%2.60572,41.1161343,28.6380008,1,27,223,828,1643,2260
,754,Bolluca Merkez,Arnavutköy,12.1,579,6984,%2.66916,41.184471,28.7412446,1,28,229,848,1683,2315
,771,Boğazköy İstiklal,Arnavutköy,29.4,337,9925,%3.79316,41.1816651,28.7738364,2,40,325,1205,2392,3290
,774,Arnavutköy İmrahor,Arnavutköy,33.2,302,10052,%3.84170,41.2560325,28.7426028,2,40,329,1220,2422,3332
,791,Karaburun,Arnavutköy,7.5,202,1521,%0.58130,41.3458809,28.6820201,0,6,50,185,367,504
,797,Tayakadın,Arnavutköy,35.3,149,5242,%2.00340,41.269504,28.689606,1,21,172,636,1263,1738
,814,Taşoluk Çilingir,Arnavutköy,12,89.5,1072,%0.40970,41.184471,28.7412446,0,4,35,130,258,355
,829,Sazlıbosna,Arnavutköy,17.1,67.1,1149,%0.43913,41.1557323,28.673678,0,5,38,139,277,381
,832,Terkos,Arnavutköy,15.1,61.9,935,%0.35734,41.303644,28.6760707,0,4,31,114,225,310
,844,Baklalı,Arnavutköy,17.6,46.9,825,%0.31530,41.258862,28.652605,0,3,27,100,199,273
,848,Yeniköy,Arnavutköy,31.5,44.3,1397,%0.53391,41.3178498,28.7231106,0,6,46,170,337,463
,853,Yeşilbayır,Arnavutköy,14.2,42.3,600,%0.22931,41.1302002,28.6085615,0,2,20,73,145,199
,891,Boyalık,Arnavutköy,27.1,24.8,674,%0.25759,41.2634653,28.6293234,0,3,22,82,162,223
,905,Hacımaşlı,Arnavutköy,28.6,19.3,551,%0.21058,41.155584,28.7145992,0,2,18,67,133,183
,916,Dursunköy,Arnavutköy,26.4,17.6,464,%0.17733,41.2041032,28.6362006,0,2,15,56,112,154
,930,Balaban,Arnavutköy,29.8,13.8,413,%0.15784,41.3098086,28.6137897,0,2,14,50,100,137
,931,Yassıören,Arnavutköy,41.1,13.7,561,%0.21440,41.234817,28.595838,0,2,18,68,135,186
Ataşehir,,,,,,423372,,,,422,5613,31902,87355,142405,181171
,210,Aşıkveysel,Ataşehir,0.42,31612,13225,%3.12373,41.0045725,29.091795,13,175,997,2729,4448,5659
,225,Fetih,Ataşehir,0.42,29144,12218,%2.88588,41.0046423,29.0762052,12,162,921,2521,4110,5228
,229,Örnek,Ataşehir,0.96,28712,27615,%6.52263,40.9956672,29.0784307,28,366,2081,5698,9289,11817
,242,Esatpaşa,Ataşehir,0.99,27272,26866,%6.34572,41.0049779,29.0828597,27,356,2024,5543,9037,11497
,267,Mustafa Kemal,Ataşehir,0.6,24979,15033,%3.55078,41.001533,29.0952356,15,199,1133,3102,5057,6433
,278,Mevlana,Ataşehir,0.8,23601,18832,%4.44810,40.9858884,29.1532413,19,250,1419,3886,6334,8059
,285,İnönü,Ataşehir,1.2,22867,28456,%6.72128,40.9772942,29.1385217,28,377,2144,5871,9571,12177
,291,Kayışdağı,Ataşehir,1.8,22630,41757,%9.86296,40.9836971,29.1431977,42,554,3146,8616,14045,17869
,310,Mimarsinan,Ataşehir,0.5,21210,10637,%2.51245,40.9929379,29.1135187,11,141,802,2195,3578,4552
,311,İçerenköy,Ataşehir,3.6,21205,76344,%18.03237,40.9701086,29.1110569,76,1012,5753,15752,25679,32669
,350,Yeniçamlıca,Ataşehir,0.74,19142,14109,%3.33253,40.9929379,29.1135187,14,187,1063,2911,4746,6038
,400,Yenisahra,Ataşehir,0.71,16164,11428,%2.69928,40.9887283,29.0906789,11,152,861,2358,3844,4890
,402,Yenişehir,Ataşehir,0.82,15932,13016,%3.07436,40.9939446,29.140645,13,173,981,2686,4378,5570
,457,Küçükbakkalköy,Ataşehir,2.3,12777,29032,%6.85733,40.9803353,29.1130781,29,385,2188,5990,9765,12424
,485,Atatürk,Ataşehir,2.5,11843,30063,%7.10085,40.9908392,29.1265531,30,399,2265,6203,10112,12865
,505,Barbaros,Ataşehir,2.9,11065,32487,%7.67339,40.9902522,29.1035997,32,431,2448,6703,10927,13902
,599,Ferhatpaşa,Ataşehir,3.8,5825,22254,%5.25637,40.9860474,29.1803805,22,295,1677,4592,7485,9523
Avcılar,,,,,,435682,,,,140,2438,17774,59702,110790,148012
,89,Mustafa Kemal Paşa,Avcılar,0.93,50617,47027,%10.79388,41.0017915,28.7060425,15,263,1919,6444,11959,15976
,171,Merkez,Avcılar,0.86,37079,31820,%7.30349,40.9818362,28.7223189,10,178,1298,4360,8092,10810
,179,Gümüşpala,Avcılar,1.1,35971,41317,%9.48329,40.98106,28.7357032,13,231,1686,5662,10507,14036
,241,Denizköşkler,Avcılar,1.7,27287,45942,%10.54485,40.9764683,28.7330024,15,257,1874,6295,11683,15608
,315,Ambarlı,Avcılar,1.8,21054,38318,%8.79495,40.9737318,28.7141652,12,214,1563,5251,9744,13018
,397,Cihangir,Avcılar,3.8,16300,62149,%14.26476,40.9873293,28.7097252,20,348,2535,8516,15804,21113
,434,Yeşilkent,Avcılar,5.1,14168,71783,%16.47601,41.031415,28.7023797,23,402,2928,9837,18254,24386
,568,Üniversite,Avcılar,2.8,7623,21621,%4.96256,40.99205525,28.7229540545493,7,121,882,2963,5498,7345
,625,Tahtakale,Avcılar,11.4,4657,53209,%12.21281,41.0585293,28.728009,17,298,2171,7291,13531,18076
,695,Firuzköy,Avcılar,12.5,1800,22496,%5.16340,41.0085033,28.7100714,7,126,918,3083,5721,7642
Bağcılar,,,,,,748483,,,,245,3853,25580,79470,140111,183381
,5,Yenigün,Bağcılar,0.57,82759,23112,%3.08785,41.0226361,28.8590918,5,83,553,1717,3027,3962
,28,Fatih,Bağcılar,0.81,81140,45242,%6.04449,41.0518502,28.8450387,10,163,1082,3361,5925,7755
,31,Yıldıztepe,Bağcılar,1.1,78772,40160,%5.36552,41.0261986,28.8556979,9,145,960,2983,5260,6884
,32,Çınar,Bağcılar,0.96,74494,36588,%4.88829,41.0368162,28.8605304,8,132,875,2718,4792,6272
,45,Kemalpaşa,Bağcılar,0.7,59967,34581,%4.62015,41.0511389,28.8514469,8,125,827,2569,4529,5928
,55,Kâzım Karabekir,Bağcılar,1.1,52796,28688,%3.83282,41.0256078,28.8455217,7,103,686,2131,3757,4917
,83,Demirkapı,Bağcılar,0.53,49501,55446,%7.40778,41.0497862,28.8367479,13,200,1326,4119,7261,9504
,90,Barbaros,Bağcılar,2,36835,21929,%2.92979,41.0245293,28.8387167,5,79,524,1629,2872,3759
,93,İnönü,Bağcılar,1.3,26433,24735,%3.30468,41.0328836,28.8541921,6,89,591,1837,3239,4240
,95,Sancaktepe,Bağcılar,3.2,19452,19528,%2.60901,41.0366758,28.8571152,4,70,467,1451,2557,3347
,99,Fevzi Çakmak,Bağcılar,4.4,7805,35448,%8.37278,41.0457899,28.8556182,14,226,1498,4655,8207,10742
