ID,Neighborhood,District,Population,Multiplier,Latitude,Longitude,Area,EV at P1,EV at P2,EV at P3,EV at P4,EV at P5,EV at P6
306,Anadolu,Arnavutköy,33177,%12.67967,41.1851685,28.7494522,1.5,7,133,1087,4028,7995,10997
421,Yunus Emre,Arnavutköy,16085,%6.14741,41.1851922,28.7605273,1.1,3,64,527,1953,3876,5332
479,Boğazköy Atatürk,Arnavutköy,7726,%2.95274,41.184471,28.7412446,0.65,2,31,253,938,1862,2561
481,Arnavutköy İslambey,Arnavutköy,18832,%7.19726,41.184745,28.7411081,1.6,4,75,617,2286,4538,6242
539,Mustafa Kemal Paşa,Arnavutköy,12585,%4.80977,41.1868267,28.7358834,1.3,3,50,412,1528,3033,4171
582,Nenehatun,Arnavutköy,8344,%3.18893,41.2018343,28.7289861,1.2,2,33,273,1013,2011,2766
585,Karlıbayır,Arnavutköy,8308,%3.17517,41.1817543,28.7149951,1.3,2,33,272,1009,2002,2754
607,Arnavutköy Yavuzselim,Arnavutköy,11217,%4.28694,41.184471,28.7412446,2.1,2,45,367,1362,2703,3718
623,Mavigöl,Arnavutköy,7412,%2.83274,41.2042176,28.764377,1.6,1,30,243,900,1786,2457
643,Taşoluk,Arnavutköy,5816,%2.22277,41.1960582,28.7167959,1.6,1,23,190,706,1401,1928
657,Hicret,Arnavutköy,3086,%1.17942,41.197665,28.7551223,0.98,1,12,101,375,744,1023
663,Taşoluk Mehmet Akif Ersoy,Arnavutköy,6349,%2.42648,41.210753,28.7123431068948,2.1,1,25,208,771,1530,2104
676,Arnavutköy Merkez,Arnavutköy,18695,%7.14490,41.1823968,28.7426319,6.7,4,75,612,2270,4505,6197
686,Durusu Zafer,Arnavutköy,792,%0.30269,41.184471,28.7412446,0.35,0,3,26,96,191,263
689,Hadımköy,Arnavutköy,21598,%8.25438,41.1585587,28.6212692,10.1,4,86,707,2622,5204,7159
694,Taşoluk M. Fevzi Çakmak,Arnavutköy,4611,%1.76224,41.210753,28.7123431068948,2.6,1,18,151,560,1111,1528
698,Taşoluk Adnan Menderes,Arnavutköy,3996,%1.52720,41.184471,28.7412446,2.3,1,16,131,485,963,1325
707,Hastane,Arnavutköy,8205,%3.13581,41.153773,28.6194517,5.7,2,33,269,996,1977,2720
733,Taşoluk Fatih,Arnavutköy,2484,%0.94934,41.210753,28.7123431068948,2.5,1,10,81,302,599,823
737,Haraççı,Arnavutköy,8297,%3.17097,41.1763646,28.7024285,8.7,2,33,272,1007,1999,2750
741,Deliklikaya,Arnavutköy,4857,%1.85626,41.1115232,28.6545292,5.7,1,19,159,590,1170,1610
748,Ömerli,Arnavutköy,6818,%2.60572,41.1161343,28.6380008,10.8,1,27,223,828,1643,2260
754,Bolluca Merkez,Arnavutköy,6984,%2.66916,41.184471,28.7412446,12.1,1,28,229,848,1683,2315
771,Boğazköy İstiklal,Arnavutköy,9925,%3.79316,41.1816651,28.7738364,29.4,2,40,325,1205,2392,3290
774,Arnavutköy İmrahor,Arnavutköy,10052,%3.84170,41.2560325,28.7426028,33.2,2,40,329,1220,2422,3332
791,Karaburun,Arnavutköy,1521,%0.58130,41.3458809,28.6820201,7.5,0,6,50,185,367,504
797,Tayakadın,Arnavutköy,5242,%2.00340,41.269504,28.689606,35.3,1,21,172,636,1263,1738
814,Taşoluk Çilingir,Arnavutköy,1072,%0.40970,41.184471,28.7412446,12,0,4,35,130,258,355
829,Sazlıbosna,Arnavutköy,1149,%0.43913,41.1557323,28.673678,17.1,0,5,38,139,277,381
832,Terkos,Arnavutköy,935,%0.35734,41.303644,28.6760707,15.1,0,4,31,114,225,310
844,Baklalı,Arnavutköy,825,%0.31530,41.258862,28.652605,17.6,0,3,27,100,199,273
848,Yeniköy,Arnavutköy,1397,%0.53391,41.3178498,28.7231106,31.5,0,6,46,170,337,463
853,Yeşilbayır,Arnavutköy,600,%0.22931,41.1302002,28.6085615,14.2,0,2,20,73,145,199
891,Boyalık,Arnavutköy,674,%0.25759,41.2634653,28.6293234,27.1,0,3,22,82,162,223
905,Hacımaşlı,Arnavutköy,551,%0.21058,41.155584,28.7145992,28.6,0,2,18,67,133,183
916,Dursunköy,Arnavutköy,464,%0.17733,41.2041032,28.6362006,26.4,0,2,15,56,112,154
930,Balaban,Arnavutköy,413,%0.15784,41.3098086,28.6137897,29.8,0,2,14,50,100,137
931,Yassıören,Arnavutköy,561,%0.21440,41.234817,28.595838,41.1,0,2,18,68,135,186
210,Aşıkveysel,Ataşehir,13225,%5.05437,41.0045725,29.091795,0.42,21,284,1612,4415,7198,9157
225,Fetih,Ataşehir,12218,%4.66951,41.0046423,29.0762052,0.42,20,262,1490,4079,6650,8460
229,Örnek,Ataşehir,27615,%10.55397,40.9956672,29.0784307,0.96,45,592,3367,9219,15029,19121
